x,Close
1,93.25
2,93.360001
3,94.660004
4,93.5
5,96.779999
6,97.260002
7,97.010002
8,97.540001
9,100.400002
10,100.800003
11,99.040001
12,100.160004
13,101.830002
14,103.849998
15,103.919998
16,104.980003
17,104.93
18,104.57
19,106
20,107.970001
21,106.459999
22,105.059998
23,105.169998
24,107.339996
25,105.629997
26,105.849998
27,104.830002
28,107.25
29,105.959999
30,100.120003
31,102.129997
32,100.410004
33,98.419998
34,94.980003
35,97.18
36,97.529999
37,98.769997
38,96.529999
39,95.190002
40,96.739998
41,94.769997
42,92.68
43,94.099998
44,92.5
45,92.139999
46,92.139999
47,89.900002
48,88.660004
49,93.75
50,92.440002
51,90.790001
52,93.440002
53,97.980003
54,97.82
55,97.699997
56,97.43
57,97.75
58,97.269997
59,98.690002
60,97.010002
61,97.190002
62,95.389999
63,95.019997
64,92.730003
65,93.040001
66,96.5
67,96.400002
68,97.190002
69,97.870003
70,98.660004
71,98.690002
72,96.839996
73,96.75
74,95.419998
75,97.32
76,98.43
77,97.860001
78,98.690002
79,96.75
80,96.879997
81,95.879997
82,96.010002
83,97.809998
84,100.900002
85,100.120003
86,101.25
87,102.550003
88,102.57
89,102.230003
90,96.690002
91,90
92,84.5
93,85.660004
94,85.669998
95,89.480003
96,88.760002
97,86.57
98,88.970001
99,85.970001
100,83.510002
101,86.599998
102,90.309998
103,97.220001
104,98.059998
105,99.050003
106,97.360001
107,97.68
108,96.050003
109,97.650002
110,100.57
111,98.589996
112,97.309998
113,97.510002
114,101.050003
115,100.480003
116,102.510002
117,105.019997
118,107.989998
119,110.029999
120,110.400002
121,109.900002
122,109.669998
123,107.209999
124,107.300003
125,108.230003
126,107.639999
127,105.169998
128,106.82
129,103.239998
130,102.050003
131,103.610001
132,100.779999
133,101.870003
134,101.949997
135,102.849998
136,102.919998
137,100.209999
138,102.699997
139,102.190002
140,107.57
141,106.43
142,108.050003
143,108.449997
144,109.18
145,108.629997
146,109.290001
147,108.800003
148,108.529999
149,108.290001
150,109.379997
151,110.07
152,111.290001
153,109.900002
154,109.93
155,112.260002
156,114.209999
157,115.800003
158,118.419998
159,118.230003
160,117.690002
161,118
162,117.360001
163,117.019997
164,119.470001
165,120.510002
166,121.580002
167,122.75
168,119.25
169,119.459999
170,119.870003
171,121.889999
172,125.610001
173,125
174,122.839996
175,121.959999
176,120.440002
177,123.129997
178,123.730003
179,123.839996
180,123.660004
181,124.980003
182,125.720001
183,126.120003
184,126.25
185,126.269997
186,126.720001
187,127.919998
188,128.610001
189,129.130005
190,129.110001
191,128.929993
192,130.309998
193,130.559998
194,129.630005
195,128.759995
196,129.229996
197,127.650002
198,127.949997
199,127.279999
200,128.270004
201,127.620003
202,126.879997
203,128.070007
204,128.669998
205,127.599998
206,128.699997
207,129.25
208,123.699997
209,124.440002
210,124.919998
211,122.269997
212,119.059998
213,122.559998
214,123.440002
215,124.059998
216,120.239998
217,122.849998
218,127.309998
219,127.639999
220,122.449997
221,120.010002
222,120.279999
223,122.57
224,124.980003
225,126.720001
226,125.019997
227,123.110001
228,126.480003
229,128.059998
230,125.559998
231,118.290001
232,103.019997
233,96.199997
234,97.290001
235,96.779999
236,100.220001
237,98.199997
238,99.290001
239,90.379997
240,94.879997
241,86.339996
242,91.889999
243,80.330002
244,74.68
245,88.43
246,66.790001
247,61
248,36.810001
249,41.299999
250,48.810001
251,43.84
