x,Close
1,267.769989
2,274.829987
3,278.619995
4,279.859985
5,289.179993
6,285.880005
7,291.809998
8,267.779999
9,274.959991
10,273.200012
11,272.309998
12,276.059998
13,268.420013
14,267.700012
15,266.380005
16,273.359985
17,271.230011
18,273.26001
19,262.75
20,263.899994
21,258.660004
22,247.630005
23,235.139999
24,241.470001
25,238.690002
26,234.009995
27,244.100006
28,255.029999
29,255.339996
30,247.059998
31,244.839996
32,241.979996
33,239.520004
34,227.009995
35,232.309998
36,231.949997
37,228.330002
38,211.029999
39,205.360001
40,205.080002
41,192.729996
42,195.490005
43,190.630005
44,188.699997
45,189.860001
46,188.220001
47,185.160004
48,178.970001
49,193.600006
50,196.589996
51,205.949997
52,204.5
53,212.880005
54,217.100006
55,209.259995
56,213.910004
57,214.919998
58,225.029999
59,224.740005
60,226.429993
61,219.619995
62,221.860001
63,223.639999
64,219.759995
65,219.270004
66,222.839996
67,223.460007
68,227.169998
69,224.550003
70,234.899994
71,233.100006
72,230.339996
73,230.059998
74,238.919998
75,238.600006
76,245.080002
77,253.5
78,252.380005
79,254.860001
80,253.539993
81,258.179993
82,255.679993
83,260.170013
84,264.880005
85,228.820007
86,228.039993
87,235.770004
88,242.259995
89,241.610001
90,233.850006
91,234.339996
92,228.320007
93,230.75
94,233.419998
95,238.300003
96,235.009995
97,229.009995
98,235
99,219.619995
100,215.639999
101,219.940002
102,226.830002
103,225.860001
104,220.830002
105,222.149994
106,211.399994
107,215
108,214.080002
109,215.589996
110,221.710007
111,225.610001
112,225.009995
113,220.679993
114,229.580002
115,227.449997
116,231.789993
117,235.539993
118,247.100006
119,245.869995
120,245.199997
121,242.809998
122,244.789993
123,243.490005
124,246.600006
125,240.619995
126,241.229996
127,223.210007
128,228.699997
129,242.559998
130,242.130005
131,240.869995
132,244.690002
133,243.130005
134,233.029999
135,231.429993
136,237.720001
137,240.050003
138,244.529999
139,244.740005
140,247.889999
141,256.959991
142,257.890015
143,259.75
144,261.970001
145,256.950012
146,253.5
147,255.580002
148,254.679993
149,299.679993
150,328.130005
151,327.709991
152,316.220001
153,315.01001
154,314.920013
155,313.309998
156,317.470001
157,317.220001
158,326.579987
159,335.540009
160,337.140015
161,345.089996
162,349.929993
163,346.109985
164,349.350006
165,352.170013
166,349.98999
167,359.519989
168,352.220001
169,354.829987
170,333.040009
171,336.339996
172,328.920013
173,331.290009
174,329.940002
175,334.869995
176,336.200012
177,333.029999
178,330.369995
179,335.890015
180,339.529999
181,348.839996
182,352.700012
183,359.679993
184,358.390015
185,381.5
186,378.98999
187,393.149994
188,404.040009
189,405.589996
190,419.220001
191,425.25
192,430.940002
193,430.380005
194,414.700012
195,418.329987
196,430.26001
197,443.01001
198,451.540009
199,469.059998
200,492.140015
201,481.339996
202,478.149994
203,524.859985
204,537.919983
205,518.5
206,513.48999
207,510.5
208,547.200012
209,569.559998
210,572.200012
211,564.820007
212,558.02002
213,566.900024
214,580.98999
215,640.809998
216,650.570007
217,780
218,887.059998
219,734.700012
220,748.960022
221,748.070007
222,771.280029
223,774.380005
224,767.289978
225,804
226,800.030029
227,858.400024
228,917.419983
229,899.409973
230,901
231,833.789978
232,799.909973
233,778.799988
234,679
235,667.98999
236,743.619995
237,745.51001
238,749.5
239,724.539978
240,703.47998
241,608
242,645.330017
243,634.22998
244,560.549988
245,546.619995
246,445.070007
247,430.200012
248,361.220001
249,427.640015
250,427.529999
251,434.290009
