x,Close
1,186.789993
2,188.470001
3,188.720001
4,189.949997
5,191.240005
6,194.020004
7,195.350006
8,195.690002
9,197
10,200.100006
11,199.5
12,200.619995
13,198.949997
14,198.869995
15,199.229996
16,199.25
17,203.130005
18,203.860001
19,204.529999
20,207.479996
21,207.160004
22,205.279999
23,204.300003
24,204.610001
25,200.669998
26,210.520004
27,209.149994
28,211.75
29,208.479996
30,202.860001
31,202.899994
32,200.720001
33,197.179993
34,185.720001
35,188.660004
36,190.919998
37,190.080002
38,189
39,183.089996
40,186.600006
41,182.779999
42,179.660004
43,178.970001
44,178.229996
45,177.380005
46,178.300003
47,175.070007
48,173.300003
49,179.639999
50,182.539993
51,185.220001
52,190.149994
53,192.580002
54,194.809998
55,194.190002
56,194.149994
57,192.740005
58,193.889999
59,198.449997
60,197.869995
61,199.460007
62,198.779999
63,198.580002
64,195.570007
65,199.800003
66,199.740005
67,197.919998
68,201.550003
69,202.729996
70,204.410004
71,204.229996
72,200.020004
73,201.240005
74,203.229996
75,201.75
76,203.300003
77,205.210007
78,204.5
79,203.350006
80,205.660004
81,202.589996
82,207.220001
83,208.839996
84,208.669998
85,207.020004
86,207.740005
87,209.679993
88,208.779999
89,213.039993
90,208.429993
91,204.020004
92,193.339996
93,197
94,199.039993
95,203.429993
96,200.990005
97,200.479996
98,208.970001
99,202.75
100,201.740005
101,206.5
102,210.350006
103,210.360001
104,212.639999
105,212.460007
106,202.639999
107,206.490005
108,204.160004
109,205.529999
110,209.009995
111,208.740005
112,205.699997
113,209.190002
114,213.279999
115,213.259995
116,214.169998
117,216.699997
118,223.589996
119,223.089996
120,218.75
121,219.899994
122,220.699997
123,222.770004
124,220.960007
125,217.729996
126,218.720001
127,217.679993
128,221.029999
129,219.889999
130,218.820007
131,223.970001
132,224.589996
133,218.960007
134,220.820007
135,227.009995
136,227.059998
137,224.399994
138,227.029999
139,230.089996
140,236.210007
141,235.869995
142,235.320007
143,234.369995
144,235.279999
145,236.410004
146,240.509995
147,239.960007
148,243.179993
149,243.580002
150,246.580002
151,249.050003
152,243.289993
153,243.259995
154,248.759995
155,255.820007
156,257.5
157,257.130005
158,257.23999
159,259.429993
160,260.140015
161,262.200012
162,261.959991
163,264.470001
164,262.640015
165,265.76001
166,267.100006
167,266.290009
168,263.190002
169,262.01001
170,261.779999
171,266.369995
172,264.290009
173,267.839996
174,267.25
175,264.160004
176,259.450012
177,261.73999
178,265.579987
179,270.709991
180,266.920013
181,268.480011
182,270.769989
183,271.459991
184,275.149994
185,279.859985
186,280.410004
187,279.73999
188,280.019989
189,279.440002
190,284
191,284.269989
192,289.910004
193,289.799988
194,291.519989
195,293.649994
196,300.350006
197,297.429993
198,299.799988
199,298.390015
200,303.190002
201,309.630005
202,310.329987
203,316.959991
204,312.679993
205,311.339996
206,315.23999
207,318.730011
208,316.570007
209,317.700012
210,319.230011
211,318.309998
212,308.950012
213,317.690002
214,324.339996
215,323.869995
216,309.51001
217,308.660004
218,318.850006
219,321.450012
220,325.209991
221,320.029999
222,321.549988
223,319.609985
224,327.200012
225,324.869995
226,324.950012
227,319
228,323.619995
229,320.299988
230,313.049988
231,298.179993
232,288.079987
233,292.649994
234,273.519989
235,273.359985
236,298.809998
237,289.320007
238,302.73999
239,292.920013
240,289.029999
241,266.170013
242,285.339996
243,275.429993
244,248.229996
245,277.970001
246,242.210007
247,252.860001
248,246.669998
249,244.779999
250,229.240005
251,224.369995
