x,Close
1,1189.839966
2,1178.01001
3,1172.27002
4,1176.890015
5,1198.97998
6,1205.540039
7,1210.810059
8,1219.449951
9,1211.449951
10,1208.280029
11,1202.689941
12,1206.449951
13,1209.589966
14,1222.72998
15,1226.530029
16,1231.910034
17,1240.140015
18,1241.469971
19,1253.76001
20,1270.589966
21,1260.050049
22,1267.339966
23,1277.420044
24,1296.199951
25,1198.959961
26,1173.319946
27,1166.51001
28,1189.550049
29,1193.459961
30,1178.859985
31,1170.780029
32,1167.969971
33,1167.640015
34,1136.589966
35,1124.859985
36,1170.800049
37,1184.5
38,1168.780029
39,1144.660034
40,1154.439941
41,1155.849976
42,1145.339966
43,1138.609985
44,1139.560059
45,1119.939941
46,1121.410034
47,1106.5
48,1038.73999
49,1054.48999
50,1044.640015
51,1047.76001
52,1068.369995
53,1082.76001
54,1081.040039
55,1079.099976
56,1091.01001
57,1086.300049
58,1093.890015
59,1105.23999
60,1104.51001
61,1113.199951
62,1125.369995
63,1116.699951
64,1087.579956
65,1080.319946
66,1076.630005
67,1082.800049
68,1100
69,1112.599976
70,1122.98999
71,1132.670044
72,1116.790039
73,1124.290039
74,1140.910034
75,1144.079956
76,1145.339966
77,1150.51001
78,1153.459961
79,1146.73999
80,1147.23999
81,1131.550049
82,1139.209961
83,1148.050049
84,1139.72998
85,1135.939941
86,1245.219971
87,1241.839966
88,1228
89,1218.199951
90,1211.780029
91,1196.319946
92,1154.75
93,1171.079956
94,1175.910034
95,1206.189941
96,1188.900024
97,1174.5
98,1196.72998
99,1164.25
100,1169.319946
101,1179.209961
102,1200.439941
103,1183.530029
104,1191.579956
105,1191.52002
106,1153.579956
107,1171.180054
108,1170.819946
109,1173.75
110,1194.23999
111,1190.530029
112,1169.550049
113,1182.27002
114,1212.189941
115,1206.319946
116,1205.27002
117,1205.699951
118,1220
119,1234.969971
120,1240.030029
121,1231.630005
122,1229.880005
123,1232.650024
124,1238.75
125,1229.839966
126,1234.689941
127,1218.329956
128,1245.939941
129,1242.290039
130,1225.949951
131,1221.140015
132,1206
133,1177.920044
134,1189.430054
135,1210.959961
136,1208.25
137,1190.130005
138,1202.400024
139,1209.469971
140,1215.709961
141,1217.77002
142,1242.23999
143,1243
144,1252.800049
145,1244.410034
146,1244.280029
147,1241.199951
148,1257.630005
149,1259.109985
150,1264.300049
151,1288.97998
152,1260.660034
153,1260.699951
154,1258.800049
155,1272.25
156,1289.609985
157,1291.439941
158,1291.01001
159,1306.939941
160,1309
161,1298.280029
162,1297.209961
163,1296.180054
164,1309.150024
165,1333.540039
166,1319.839966
167,1312.589966
168,1301.859985
169,1300.140015
170,1293.670044
171,1305.640015
172,1313
173,1312.130005
174,1304.089966
175,1288.859985
176,1294.73999
177,1318.939941
178,1326.959961
179,1339.390015
180,1342.98999
181,1342.890015
182,1344.25
183,1348.48999
184,1346.869995
185,1360.699951
186,1354.890015
187,1351.910034
188,1356.439941
189,1351.219971
190,1350.630005
191,1344.430054
192,1362.469971
193,1354.640015
194,1339.709961
195,1339.390015
196,1368.680054
197,1361.52002
198,1397.810059
199,1395.109985
200,1405.040039
201,1419.790039
202,1428.959961
203,1440.030029
204,1430.589966
205,1439.199951
206,1450.160034
207,1479.52002
208,1482.25
209,1483.869995
210,1484.689941
211,1466.170044
212,1431.72998
213,1450.5
214,1456.699951
215,1454.25
216,1432.780029
217,1482.599976
218,1445.410034
219,1446.050049
220,1475.969971
221,1479.109985
222,1508.660034
223,1510.060059
224,1518.630005
225,1513.390015
226,1518.72998
227,1519.439941
228,1524.869995
229,1516.98999
230,1483.459961
231,1419.859985
232,1386.319946
233,1390.469971
234,1314.949951
235,1339.25
236,1386.319946
237,1337.719971
238,1381.599976
239,1314.76001
240,1295.73999
241,1215.790039
242,1275.170044
243,1210.900024
244,1111.550049
245,1214.27002
246,1073
247,1118.060059
248,1091.189941
249,1111.670044
250,1068.209961
251,1054.130005
