x,Close
1,50.919998
2,50.689999
3,51.23
4,51.450001
5,52.740002
6,52.560001
7,53.529999
8,53.700001
9,52.900002
10,52.209999
11,53.02
12,53.369999
13,53.880001
14,52.59
15,52.419998
16,52.23
17,50.790001
18,51.720001
19,51.860001
20,53.610001
21,53.049999
22,52.860001
23,53.389999
24,53.380001
25,53.23
26,52.240002
27,52.439999
28,55.080002
29,56.220001
30,54.939999
31,48.669998
32,48.830002
33,47.470001
34,46
35,47
36,47.200001
37,46.75
38,44.990002
39,44.939999
40,45.740002
41,46.509998
42,45.549999
43,45.240002
44,44.220001
45,43.32
46,43.029999
47,42.27
48,42.66
49,45.360001
50,45.049999
51,44.84
52,45.27
53,45.650002
54,45.810001
55,45.450001
56,46.279999
57,45.549999
58,45.68
59,46.310001
60,47.189999
61,46.75
62,47.299999
63,46.41
64,44.509998
65,44.049999
66,46.580002
67,46.290001
68,46.790001
69,47.25
70,46.799999
71,47.57
72,45.540001
73,45.790001
74,45.799999
75,45.950001
76,45.23
77,45.759998
78,46.759998
79,45.610001
80,45.869999
81,44.869999
82,44.599998
83,46.029999
84,46.860001
85,46
86,46.599998
87,45.330002
88,44.200001
89,44.150002
90,43.66
91,43.34
92,41.959999
93,42.43
94,41.400002
95,43.259998
96,42.68
97,40.389999
98,40.82
99,38.57
100,38.450001
101,37.990002
102,38.740002
103,38.029999
104,38.52
105,38.150002
106,36.299999
107,35.950001
108,35.810001
109,36.779999
110,37.880001
111,37.990002
112,37.07
113,37.700001
114,38.110001
115,37.880001
116,39.610001
117,40.939999
118,42.75
119,41.27
120,40.82
121,41.150002
122,41.439999
123,40.970001
124,40.290001
125,39.130001
126,38.16
127,37.799999
128,38.040001
129,37.889999
130,38.43
131,38.68
132,38.23
133,37.5
134,38.650002
135,38.98
136,38.799999
137,37.23
138,37.419998
139,37.830002
140,39.110001
141,38.689999
142,38.889999
143,38.709999
144,38.93
145,37.419998
146,37.790001
147,38.880001
148,39.91
149,39.220001
150,40.32
151,40.52
152,39.77
153,40.259998
154,40.400002
155,40.400002
156,41.200001
157,40.98
158,40.790001
159,31.65
160,31.959999
161,31.75
162,31.700001
163,30.84
164,31.059999
165,31.139999
166,31.610001
167,28.379999
168,27.98
169,28.059999
170,27.98
171,28.58
172,29.110001
173,28.68
174,28.4
175,28.48
176,27.91
177,28.549999
178,29.030001
179,29.040001
180,28.84
181,28.969999
182,28.940001
183,29.450001
184,29.25
185,29.469999
186,29.209999
187,29.889999
188,30.34
189,30.059999
190,29.889999
191,30.15
192,30.35
193,30.290001
194,30.02
195,30.379999
196,30.26
197,30.17
198,30.059999
199,30.469999
200,30.59
201,30.49
202,30.120001
203,30.610001
204,31.049999
205,30.98
206,31.52
207,30.93
208,30.49
209,30.26
210,30.559999
211,29.74
212,28.940001
213,28.790001
214,28.299999
215,28.209999
216,27.32
217,27.65
218,28.26
219,29.290001
220,29.209999
221,28.879999
222,28.639999
223,29.809999
224,30.450001
225,29.639999
226,29.65
227,28.870001
228,28.84
229,28.969999
230,28.290001
231,26.9
232,25.620001
233,23.610001
234,22.719999
235,23.450001
236,24.110001
237,23.450001
238,23.860001
239,21.74
240,22
241,20.09
242,19.68
243,18.23
244,14.92
245,17.08
246,16.809999
247,15.6
248,14.45
249,15.69
250,15.84
251,17.049999
